location_id,name,city,country,latitude,longitude,rating,num_reviews,price_level,category
8530636,Oppegaard Golf Club,Oppegard,Norway,59.77682,10.81455,5.0,1,,attraction
28138834,Mam Asian Diner,Oppegard,Norway,59.76558,10.81389,5.0,2,$$ - $$$,restaurant
28063798,Extra Hellerasten,Sofiemyr,Norway,59.807903,10.816457,,0,,restaurant
6122877,Il Sogno Di Napoli,Rome,Italy,41.94315,12.626958,4.4,137,$,restaurant
8670140,Casa Magini,Rome,Italy,41.9404,12.62677,4.3,11,$$,hotel
27378627,Bar Gli Amici,Rome,Italy,41.9444,12.626,,0,,restaurant
27394782,Nabab,Rome,Italy,41.94062,12.62367,,0,,restaurant
27814308,Lantico Baretto Casamagini,Rome,Italy,41.939823,12.62577,,0,,restaurant
13142013,Chiesa di Santa Maria dell'Olivo,Rome,Italy,41.93975,12.62323,,0,,attraction
14052289,Hostaria Marchigiana,Rome,Italy,41.93881,12.625669,4.4,28,$,restaurant
8691297,All'anima Del Panino,Rome,Italy,41.93945,12.62253,5.0,8,$,restaurant
17449166,Caffe Dell'anima,Rome,Italy,41.93945,12.62202,4.0,3,,restaurant
5566973,Dubai Cafe,Rome,Italy,41.938984,12.627695,2.6,59,,attraction
10627319,Jura Hohenweg 5: Stage 1: Dielsdorf to Brugg,Dielsdorf,Switzerland,47.4831,8.45813,4.0,1,,attraction
19112159,Coop Restaurant,Dielsdorf,Switzerland,47.48359,8.46531,3.0,2,,restaurant
23288356,McDonald's Restaurant,Dielsdorf,Switzerland,47.48359,8.465336,,0,,restaurant
6416284,Churrascaria Boi Na Brasa,Dielsdorf,Switzerland,47.48283,8.466041,4.0,103,$$ - $$$,restaurant
609720,Hotel Restaurant Lowen Dielsdorf,Dielsdorf,Switzerland,47.483673,8.455272,4.0,56,$$$,hotel
14802823,Gasthof zum Kreuz,Steinmaur,Switzerland,47.499992,8.455217,4.7,13,$$ - $$$,restaurant
19344228,Cafe Mit Herz,Dielsdorf,Switzerland,47.48411,8.455571,5.0,2,$$ - $$$,restaurant
